Joe made the [MASK]; Susan decorated them.	costumes	chairs
Joe made the sugar cookies; Susan [MASK] them.	cooked	baked
Greetings from planet [MASK], or what we call home.	Jupiter	Saturn
Her daily goal was to do more [MASK].	yoga	reading
There can never be too many [MASK] on an ice cream.	layers	flavors
He colored the [MASK] a soft yellow.	leaves	grass
He colored the sky a soft [MASK].	yellow	purple
It took him a month to finish the [MASK].	book	game
It took him a month to [MASK] the table.	finish	fix
He waited for the [MASK] to leave.	others	man
She waited for the [MASK] to leave.	train	bus
The fish listened intently to what the [MASK] had to say.	biologist	fisherman
The [MASK] listened intently to what the girl had to say.	teacher	students
[MASK] listened intently to what the girl had to say.	I	they
Charles ate the french fries knowing they would be [MASK].	delicious	poisoned
Charles ate the [MASK] knowing they would be poisoned.	eggs	potatoes
He had reached the point where he was [MASK] about being paranoid.	worried	nervous
He had a wall full of [MASK] in the basement.	boxes	furniture
Susan ran from the giraffe toward the [MASK].	door	stairs
Mark ran from the [MASK] toward the stairs.	kitchen	bedroom
He embraced his new life as an [MASK].	artist	atheist
He embraced his new life as a [MASK].	vegan	firefighter
Eating [MASK] before practice was recommended.	well	right
Eating eggplant before [MASK] was recommended.	lunch	dinner
The [MASK] moved in circles in hopes of coming alive.	flames	lights
This is a [MASK] doll.	porcelain	baby
He walked into the [MASK] with the song playing in his head.	house	room
He walked into [MASK] with the song playing in his head.	school	town
Two seats were [MASK].	empty	occupied
The two [MASK] were lost.	cars	ships
Doris enjoyed tapping the [MASK] on the table to annoy everyone.	papers	keys
He strives to keep the best [MASK] in the country.	teachers	doctors
In hopes of finding out the truth, he entered the [MASK].	forest	temple
In hopes of finding out [MASK], he entered the city.	more	why
There were three [MASK] congregating in a room.	figures	couples
There were four people congregating in a [MASK].	corner	circle
The [MASK] jumped into the lake with dreams of becoming a turtle.	driver	pilot
The boy jumped into the lake with dreams of becoming a [MASK].	fisherman	sailor
He uses [MASK] as a weapon of mass destruction.	magic	religion
She was amazed by the large chunks of [MASK] washing up on the beach.	plastic	ice
He stepped onto the [MASK] knowing that enchantment awaited on the other side.	bridge	stairs
He stepped onto the balcony knowing that [MASK] awaited on the other side.	danger	trouble
Blue [MASK] was not something the couple had ever talked about.	hair	grass
I am counting my calories, yet I really want [MASK].	dessert	cake
The waitress was not amused when he ordered green eggs and blue [MASK].	salmon	ham
With a single flip of the coin, his life went [MASK].	forward	backward
We should play with legos at [MASK].	home	school
We should play with [MASK] at night.	kids	toys
I checked to make sure that he was still [MASK].	sleeping	resting
He was sure the Devil created yellow [MASK].	tulips	roses
He was sure the [MASK] wore yellow jackets.	team	band
Danny made the sugar cookies; Josh [MASK] them.	ate	bought
Mary made the [MASK]; Carl decorated them.	cakes	cookies
Greetings from planet [MASK], or what we call home.	zero	A
He barked the orders, while his [MASK] just stared back with amusement.	superiors	bosses
They barked the orders, while the [MASK] just stared back with amusement.	students	assistants
She colored the [MASK] a soft yellow.	stones	woods
It took her a month to finish the [MASK].	paiting	manuscript
It took her an hour to [MASK] the table.	clear fill	
They waited until the [MASK] left.	waiter	driver
The [MASK] listened carefully to what the boy had to say.	administrators	managers
She had a wall full of [MASK] in the basement.	mirrors	paintings
He embraced his new life as a [MASK].	muslim	catholic
Eating onions before [MASK] was recommended.	betting	smoking
The [MASK] moved in circles in hopes of inspiration.	choir	musicians
She walked into the [MASK] with the song playing in her head.	crowd	studio
She walked into [MASK] with the song playing in her head.	space	paradise
Two seats were [MASK].	elected	contested
They lost both [MASK].	matches	races
Sam often moved the [MASK] around the table to suprise Jon.	chairs	kettle
She likes to have the best [MASK] in the city.	traditions	habits
In hopes of finding them, she went into the [MASK].	vault	attic
She entered the bar to discover their [MASK].	whereabouts	identities
A bunch of [MASK] were having a meeting in the park.	vampires	werewolves
The people gathered around the [MASK].	pillar	monolith
The girl jumped forward with the intention of becoming a [MASK].	pirate	millionaire
She uses [MASK] for the wrong purposes.	electricity	lasers
He was surprised by the number of [MASK] washing up on the beach.	shrimp	fish
She stepped onto the bridge knowing that [MASK] waited on the other side.	something	someone
Those videos talked about a green [MASK].	sky	moon
The waiter laughed when she ordered purple [MASK].	milk	cheese
That damn coin was responsible for her going [MASK].	bankrupt	downhill
We should feed the [MASK] at night.	kangaroos	koalas
She was sure the Devil created yellow [MASK].	paint	clothes
They waited for the line of [MASK] to pass by.	singers	actors
She carefully brushed her [MASK] in the mirror. 	hair	makeup
The sun cast a warm [MASK] on the beach. 	glow	light
He took a bite of the juicy [MASK]. 	apple	pear
The concert was filled with lively [MASK]. 	music	dancing
The artist skillfully painted the [MASK] on the canvas. 	flowers	landscape
The students eagerly raised their [MASK] in class. 	hands	questions
The delicious aroma of freshly brewed [MASK] filled the kitchen. 	coffee	tea
He meticulously arranged the [MASK] on the bookshelf. 	books	magazines
The garden was filled with colorful [MASK]. 	flowers	butterflies
She eagerly flipped through the [MASK] of the magazine. 	pages	pictures
The athlete sprinted across the [MASK]. 	track	field
The child giggled at the playful [MASK]. 	puppy	kitten
The detective carefully examined the [MASK] at the crime scene. 	clues	evidence
The chef skillfully prepared the [MASK] for dinner. 	steak	salmon
The hiker marveled at the breathtaking [MASK] from the mountaintop. 	view	sunset
The children joyfully played with the colorful [MASK]. 	balloons	balls
The writer meticulously crafted each [MASK] of the story. 	word	sentence
The actor delivered a powerful [MASK] in the theater. 	performance	monologue
The explorer ventured into the dense [MASK] of the jungle. 	foliage	undergrowth
The teacher wrote the [MASK] on the chalkboard. 	equation	formula
The musician passionately played the [MASK] on the piano. 	melody	rhythm
The photographer captured the [MASK] of the city at night. 	lights	skyscrapers
The swimmer gracefully glided through the [MASK]. 	water	pool
The scientist conducted experiments in the [MASK]. 	laboratory	field
The chef added a pinch of [MASK] to the recipe. 	salt	pepper
The child built a towering [MASK] out of blocks. 	castle	tower
The lawyer presented a compelling [MASK] in court. 	argument	evidence
The runner crossed the [MASK] in record time. 	finish	start
The child eagerly unwrapped the [MASK] on Christmas morning. 	presents	gifts
The architect designed the [MASK] with intricate details. 	building	structure
The pianist played a soothing [MASK] on the grand piano. 	melody	harmony
The mechanic fixed the [MASK] under the hood. 	engine	brakes
The actor delivered an emotional [MASK] in the play. 	speech	scene
The artist used vibrant colors to paint the [MASK] on the canvas. 	flowers	sunset
The chef skillfully cooked the [MASK] to perfection. 	steak	chicken
The writer carefully selected each [MASK] for the novel. 	word	sentence
The musician passionately performed the [MASK] on stage. 	song	piece
The photographer captured the beauty of the [MASK] in the photograph. 	landscape	nature
The swimmer dived into the crystal-clear [MASK]. 	water	pool
The scientist made groundbreaking discoveries in the field of [MASK]. 	physics	biology
The chef garnished the dish with a sprinkle of [MASK]. 	parsley	basil
The child built a magnificent [MASK] out of Legos. 	castle	spaceship
The lawyer presented a compelling [MASK] in the courtroom. 	case	argument
The cyclist pedaled up the steep [MASK] with determination. 	hill	mountain
The writer vividly described the [MASK] in the novel. 	characters	settings
The musician skillfully played the [MASK] on the violin. 	tune	melody
The artist sketched the intricate details of the [MASK] on the canvas. 	portrait	landscape
The mechanic repaired the faulty [MASK] in the car. 	engine	brakes
The actor portrayed a complex [MASK] in the film. 	character	role
The gardener tended to the vibrant [MASK] in the flower bed. 	roses	tulips
The teacher explained the [MASK] of the equation. 	meaning	significance
The athlete sprinted across the finish [MASK]. 	line	tape
The child giggled at the adorable [MASK] in the pet store. 	puppies	kittens
The photographer captured the essence of the [MASK] in the photograph. 	moment	event
The swimmer glided through the refreshing [MASK]. 	water	pool
The scientist conducted experiments in the advanced [MASK]. 	laboratory	facility
The chef added a dash of [MASK] to enhance the flavor. 	spice	herb
The child constructed an impressive [MASK] out of building blocks. 	tower	castle
The lawyer delivered a persuasive [MASK] in the courtroom. 	argument	case
The cyclist conquered the challenging [MASK] during the race. 	terrain	course
The writer meticulously revised each [MASK] in the manuscript. 	word	sentence
The musician passionately performed the [MASK] on the saxophone. 	solo	piece
The artist painted the vibrant colors of the [MASK] on the canvas. 	flowers	sunset
The mechanic fixed the malfunctioning [MASK] in the car. 	engine	air conditioner
The actor portrayed a wide range of emotions in the [MASK]. 	scene	play
The gardener nurtured the blooming [MASK] in the garden. 	roses	lilies
The teacher explained the [MASK] of the historical event. 	significance	impact
The athlete sprinted across the [MASK] to reach the finish line. 	track	court
The child eagerly unwrapped the [MASK] on their birthday. 	presents	gifts
The photographer captured the magnificence of the [MASK] in the photograph. 	landscape	cityscape
The swimmer floated effortlessly in the calm [MASK]. 	water	sea
The scientist made significant advancements in the field of [MASK]. 	chemistry	medicine
The chef seasoned the dish with a pinch of [MASK]. 	salt	pepper
The child constructed an imaginative [MASK] out of recycled materials. 	fortress	spaceship
The lawyer presented a convincing [MASK] in the courtroom. 	argument	testimony
The dancer gracefully twirled across the [MASK]. 	stage	floor
With a burst of laughter, they revealed the [MASK] in the surprise box. 	gift	present
The singer's voice echoed through the [MASK], captivating the audience. 	theater	stadium
The aroma of freshly brewed [MASK] filled the air, enticing passersby. 	coffee	tea
Running barefoot on the soft [MASK], she felt a sense of freedom. 	sand	grass
As the storm raged outside, the writer found solace in the [MASK] of their thoughts. 	quietness	calmness
In the distance, the howl of a lone [MASK] pierced the night. 	wolf	coyote
The chef skillfully tossed the [MASK] in the air, creating a culinary spectacle. 	pancakes	pizza dough
Amongst the vast array of colors, the artist chose a vibrant [MASK] for the centerpiece. 	blue	yellow
The explorer ventured into the treacherous [MASK], driven by curiosity. 	jungle	desert
With a flick of the wrist, the magician conjured a [MASK] out of thin air. 	rabbit	dove
The baby's infectious laughter brought a [MASK] to everyone's face. 	smile	tear
The biker sped through the winding [MASK], feeling the rush of adrenaline. 	road	trail
Surrounded by towering trees, the hiker marveled at the [MASK] of the forest. 	beauty	majesty
The gentle breeze carried the sweet scent of blooming [MASK] across the garden. 	roses	lavender
The scientist meticulously analyzed the data, searching for a [MASK] in the patterns. 	trend	connection
Amidst the bustling city, she found tranquility in the [MASK] of the park. 	serenity	peace
The audience erupted in applause as the pianist delivered a flawless [MASK]. 	performance	recital
The detective followed the trail of [MASK], leading to a breakthrough in the case. 	clues	evidence
With a stroke of genius, the inventor created a revolutionary [MASK] that changed lives. 	device	machine
The child's imagination soared as they discovered a hidden [MASK] in the attic. 	treasure	artifact
In the meadow, the shepherd tended to his [MASK], guiding them to safety. 	sheep	cattle
With the setting sun painting the sky in hues of orange and pink, the photographer captured the [MASK] of the moment. 	beauty	magic
The professor's lecture on quantum physics left the students in a state of [MASK]. 	awe	confusion
In the depths of the ocean, the diver encountered a magnificent [MASK], a sight to behold. 	coral reef	sea creature
The marathon runner pushed through the final [MASK], fueled by determination. 	miles	lap
The storm raged outside, while inside the cozy cabin, they enjoyed a [MASK] by the fireplace. 	book	game
As the sun dipped below the horizon, the sky transformed into a breathtaking [MASK] of colors. 	painting	canvas
The fragrance of freshly baked [MASK] wafted from the kitchen, enticing hungry guests. 	bread	cookies
Jumping off the diving board, she plunged into the refreshing [MASK], leaving a splash behind. 	pool	ocean
With a deep sigh, he closed his eyes and savored the [MASK] of the moment. 	quietness	serenity
In the haunted house, a ghostly [MASK] echoed through the halls, sending shivers down their spines. 	whisper	laughter
The chef skillfully flipped the [MASK] in the pan, creating a delicious masterpiece. 	pancakes	omelet
Among the towering skyscrapers, a glimpse of a majestic [MASK] caught their attention. 	eagle	falcon
The adventurer braved the harsh [MASK] of the Arctic, driven by the quest for discovery. 	conditions	climate
With a wave of the wand, the magician conjured a magnificent [MASK] out of thin air. 	illusion	flower
The child's innocent laughter brought a [MASK] to their parents' faces. 	smile	tear
The cyclist pedaled through the challenging [MASK], determined to reach the finish line. 	terrain	course
In the enchanting forest, she marveled at the [MASK] of the ancient trees. 	beauty	majesty
The gentle breeze carried the sweet scent of blooming [MASK] across the meadow. 	flowers	jasmine
The detective meticulously examined the evidence, searching for a [MASK] in the puzzle. 	clue	connection
Amidst the chaos of the city, she found solace in the [MASK] of the park. 	serenity	peace
The audience erupted in applause as the actor delivered a powerful [MASK] on stage. 	performance	monologue
The archaeologist uncovered ancient [MASK], shedding light on a long-lost civilization. 	artifacts	relics
With a stroke of brilliance, the inventor created a revolutionary [MASK] that changed the world. 	device	gadget
The child's imagination soared as they stumbled upon a hidden [MASK] in the attic. 	treasure	treasure map
In the meadow, the shepherd guided his flock of [MASK] to greener pastures. 	sheep	goats
As the sun set in a blaze of colors, the photographer captured the ephemeral [MASK] of the moment. 	beauty	magic
The professor's lecture on ancient history left the students in a state of [MASK]. 	awe	wonder
